"Numer porządkowy (a)","Nazwa chemiczna/INN (b)","Numer CAS (c)","Numer WE (d)"
"835","Oleje smarowe (ropa naftowa), C18-40, destylat bazowy z hydrokrakingu odparafinowany rozpuszczalnikowo, jeśli zawierają> 3 % wagowych ekstraktu DMSO","94733-15-0","305-594-8"
"836","Oleje smarowe (ropa naftowa), C18-40, rafinat bazowy odparafinowany rozpuszczalnikowo, uwodorniony, jeśli zawierają> 3 % wagowych ekstraktu DMSO","94733-16-1","305-595-3"
"837","Węglowodory, C13-30, bogate w węglowodory aromatyczne, destylat naftenowy ekstrahowany rozpuszczalnikiem, jeśli zawierają> 3 % wagowych ekstraktu DMSO","95371-04-3","305-971-7"
"838","Węglowodory, C16-32, bogate w węglowodory aromatyczne, destylat naftenowy ekstrahowany rozpuszczalnikiem, jeśli zawierają> 3 % wagowych ekstraktu DMSO","95371-05-4","305-972-2"
"839","Węglowodory, C37-68, odparafinowane, hydrorafinowane, odasfaltowane, pozostałości z destylacji próżniowej, jeśli zawierają> 3 % wagowych ekstraktu DMSO","95371-07-6","305-974-3"
"840","Węglowodory, C37-65, hydrorafinowane, odasfaltowane, pozostałości z destylacji próżniowej, jeśli zawierają> 3 % wagowych ekstraktu DMSO","95371-08-7","305-975-9"
"841","Destylaty (ropa naftowa), lekkie, hydrokrakowane, rafinowane rozpuszczalnikiem, jeśli zawierają> 3 % wagowych ekstraktu DMSO","97488-73-8","307-010-7"
"842","Destylaty (ropa naftowa), ciężkie, uwodornione, rafinowane rozpuszczalnikiem, jeśli zawierają> 3 % wagowych ekstraktu DMSO","97488-74-9","307-011-2"
"843","Oleje smarowe (ropa naftowa), C18-27, z hydrokrakingu, odparafinowane rozpuszczalnikiem, jeśli zawierają> 3 % wagowych ekstraktu DMSO","97488-95-4","307-034-8"
"844","Węglowodory, C17-30, lekkie, hydrorafinowane, odasfaltowane rozpuszczalnikiem, pozostałość destylacji atmosferycznej, jeśli zawierają> 3 % wagowych ekstraktu DMSO","97675-87-1","307-661-7"
"845","Węglowodory, C17-40, hydrorafinowane, odasfaltowane rozpuszczalnikiem, pozostałość destylacji, destylaty próżniowe, jeśli zawierają> 3 % wagowych ekstraktu DMSO","97722-06-0","307-755-8"
"846","Węglowodory, C13-27, frakcja lekka naftenowa ekstrahowana rozpuszczalnikiem, jeśli zawierają> 3 % wagowych ekstraktu DMSO","97722-09-3","307-758-4"
"847","Węglowodory, C14-29, frakcja lekka naftenowa ekstrahowana rozpuszczalnikiem, jeśli zawierają> 3 % wagowych ekstraktu DMSO","97722-10-6","307-760-5"
"848","Szlam olejowy (ropa naftowa) oczyszczony węglem, jeśli zawiera > 3 % wagowych ekstraktu DMSO","97862-76-5","308-126-0"
"849","Szlam olejowy (ropa naftowa) oczyszczony kwasem krzemowym, jeśli zawiera > 3 % wagowych ekstraktu DMSO","97862-77-6","308-127-6"
"850","Węglowodory, C27-42, odaromatyzowane, jeśli zawierają> 3 % wagowych ekstraktu DMSO","97862-81-2","308-131-8"
"851","Węglowodory, C17-30, hydrorafinowane destylaty, lekkie, jeśli zawierają> 3 % wagowych ekstraktu DMSO","97862-82-3","308-132-3"
"852","Węglowodory, C27-45, z destylacji próżniowej, naftenowe, jeśli zawierają> 3 % wagowych ekstraktu DMSO","97862-83-4","308-133-9"
"853","Węglowodory, C27-45, odaromatyzowane, jeśli zawierają> 3 % wagowych ekstraktu DMSO","97926-68-6","308-287-7"
"854","Węglowodory, C20-58, hydrorafinowane, jeśli zawierają> 3 % wagowych ekstraktu DMSO","97926-70-0","308-289-8"
"855","Węglowodory, C27-42, naftenowe, jeśli zawierają> 3 % wagowych ekstraktu DMSO","97926-71-1","308-290-3"
"856","Ekstrakty (ropa naftowa), rozpuszczalnikowe destylatów lekkich parafinowych, oczyszczone węglem, jeśli zawierają> 3 % wagowych ekstraktu DMSO","100684-02-4","309-672-2"
"857","Ekstrakty (ropa naftowa), rozpuszczalnikowe destylatów lekkich parafinowych, oczyszczone ziemiąbielącą, jeśli zawierają> 3 % wagowych ekstraktu DMSO","100684- 03-5","309-673-8"
"858","Ekstrakty (ropa naftowa), rozpuszczalnikowe lekkiego oleju gazowego, oczyszczone węglem, jeśli zawierają> 3 % wagowych ekstraktu DMSO","100684-04-6","309-674-3"
"859","Ekstrakty (ropa naftowa), rozpuszczalnikowe lekkiego oleju gazowego, oczyszczone ziemiąbielącą, jeśli zawierają> 3 % wagowych ekstraktu DMSO","100684-05-7","309-675-9"
"860","Pozostałości olejowe (ropa naftowa) z odparafinowania rozpuszczalnikowego, oczyszczone węglem, jeśli zawierają> 3 % wagowych ekstraktu DMSO","100684-37-5","309-710-8"
"861","Pozostałości olejowe (ropa naftowa) z odparafinowania rozpuszczalnikowego, rafinowane ziemiąbielącą, jeśli zawierają> 3 % wagowych ekstraktu DMSO","100684-38-6","309-711-3"
"862","Oleje smarowe (ropa naftowa), C>25, ekstrahowane rozpuszczalnikowo, odasfaltowane, odparafinowane, uwodornione, jeśli zawierają> 3 % wagowych ekstraktu DMSO","101316-69-2","309-874-0"
"863","Oleje smarowe (ropa naftowa), C17-32, ekstrahowane rozpuszczalnikowo, odparafinowane, uwodornione, jeśli zawierają> 3 % wagowych ekstraktu DMSO","101316-70-5","309-875-6"
"864","Oleje smarowe (ropa naftowa), C20-35, ekstrahowane rozpuszczalnikowo, odparafinowane, uwodornione, jeśli zawierają> 3 % wagowych ekstraktu DMSO","101316-71-6","309-876-1"
"865","Oleje smarowe (ropa naftowa), C24-50, ekstrahowane rozpuszczalnikowo, odparafinowane, uwodornione, jeśli zawierają> 3 % wagowych ekstraktu DMSO","101316-72-7","309-877-7"
"866","Destylaty (ropa naftowa), średnie odsiarczone, z wyjątkiem sytuacji, gdy znany jest cały proces rafinowania i można udowodnić, że substancja, z której pochodzą, nie jest rakotwórcza","64741-86-2","265-088-7"
"867","Oleje gazowe (ropa naftowa) rafinowane rozpuszczalnikiem, z wyjątkiem sytuacji, gdy znany jest cały proces rafinowania i można udowodnić, że substancja, z której pochodzą, nie jest rakotwórcza","64741-90-8","265-092-9"
"868","Destylaty (ropa naftowa), średnie, rafinowane rozpuszczalnikiem, z wyjątkiem sytuacji, gdy znany jest cały proces rafinowania i można udowodnić, że substancja, z której pochodzą, nie jest rakotwórcza","64741-91-9","265-093-4"
"869","Oleje gazowe (ropa naftowa), rafinowane kwasem, z wyjątkiem sytuacji, gdy znany jest cały proces rafinowania i można udowodnić, że substancja, z której pochodzą, nie jest rakotwórcza","64742-12-7","265-112-6"
"870","Destylaty (ropa naftowa), średnie rafinowane kwasem, z wyjątkiem sytuacji, gdy znany jest cały proces rafinowania i można udowodnić, że substancja, z której pochodzą, nie jest rakotwórcza","64742-13-8","265-113-1"
"871","Destylaty (ropa naftowa), lekkie, rafinowane kwasem, z wyjątkiem sytuacji, gdy znany jest cały proces rafinowania i można udowodnić, że substancja, z której pochodzą, nie jest rakotwórcza","64742-14-9","265-114-7"
"872","Oleje gazowe (ropa naftowa), chemicznie zobojętniane, z wyjątkiem sytuacji, gdy znany jest cały proces rafinowania i można udowodnić, że substancja, z której pochodzą, nie jest rakotwórcza","64742-29-6","265-129-9"
"873","Destylaty (ropa naftowa), średnie, chemicznie zobojętniane, z wyjątkiem sytuacji, gdy znany jest cały proces rafinowania i można udowodnić, że substancja, z której pochodzą, nie jest rakotwórcza","64742-30-9","265-130-4"
"874","Destylaty (ropa naftowa), średnie, oczyszczone ziemiąbielącą, z wyjątkiem sytuacji, gdy znany jest cały proces rafinowania i można udowodnić, że substancja, z której pochodzą, nie jest rakotwórcza","64742-38-7","265-139-3"
"875","Destylaty (ropa naftowa), średnie, hydrorafinowane, z wyjątkiem sytuacji, gdy znany jest cały proces rafinowania i można udowodnić, że substancja, z której pochodzą, nie jest rakotwórcza","64742-46-7","265-148-2"
"876","Oleje gazowe (ropa naftowa), hydroodsiarczone, z wyjątkiem sytuacji, gdy znany jest cały proces rafinowania i można udowodnić, że substancja, z której pochodzą, nie jest rakotwórcza","64742-79-6","265-182-8"
"877","Destylaty (ropa naftowa), średnie, hydroodsiarczone, z wyjątkiem sytuacji, gdy znany jest cały proces rafinowania i można udowodnić, że substancja, z której pochodzą, nie jest rakotwórcza","64742-80-9","265-183-3"
"878","Destylaty (ropa naftowa), z rozdzielania pozostałości na reformingu katalitycznym, wysokowrzące, z wyjątkiem sytuacji, gdy znany jest cały proces rafinowania i można udowodnić, że substancja, z której pochodzą, nie jest rakotwórcza","68477-29-2","270-719-4"
"879","Destylaty (ropa naftowa), średniowrzące z rozdzielania pozostałości na reformingu katalitycznym, z wyjątkiem sytuacji, gdy znany jest cały proces rafinowania i można udowodnić, że substancja, z której pochodzą, nie jest rakotwórcza","68477-30-5","270-721-5"
"880","Destylaty (ropa naftowa), niskowrzące z rozdzielania pozostałości na reformingu katalitycznym, z wyjątkiem sytuacji, gdy znany jest cały proces rafinowania i można udowodnić, że substancja, z której pochodzą, nie jest rakotwórcza","68477-31-6","270-722-0"
"881","Alkany, C12-26 rozgałęzione i liniowe, z wyjątkiem sytuacji, gdy znany jest cały proces rafinowania i można udowodnić, że substancja, z której pochodzą, nie jest rakotwórcza","90622-53-0","292-454-3"
"882","Destylaty (ropa naftowa), średnie, wysokorafinowane, z wyjątkiem sytuacji, gdy znany jest cały proces rafinowania i można udowodnić, że substancja, z której pochodzą, nie jest rakotwórcza","90640-93-0","292-615-8"
"883","Destylaty (ropa naftowa), z reformingu katalitycznego o dużej zawartości związków aromatycznych, z wyjątkiem sytuacji, gdy znany jest cały proces rafinowania i można udowodnić, że substancja, z której pochodzą, nie jest rakotwórcza","91995-34-5","295-294-2"
"884","Oleje gazowe, parafinowe, z wyjątkiem sytuacji, gdy znany jest cały proces rafinowania i można udowodnić, że substancja, z której pochodzą, nie jest rakotwórcza","93924-33-5","300-227-8"
"885","Frakcja naftowa ciężka (ropa naftowa), rafinowana rozpuszczalnikami, hydroodsiarczana, z wyjątkiem sytuacji, gdy znany jest cały proces rafinowania i można udowodnić, że substancja, z której pochodzą, nie jest rakotwórcza","97488-96-5","307-035-3"
"886","Węglowodory, C16-20, hydrorafinowane destylaty średnie, lekkie, z wyjątkiem sytuacji, gdy znany jest cały proces rafinowania i można udowodnić, że substancja, z której pochodzą, nie jest rakotwórcza","97675- 85-9","307-659-6"
"887","Węglowodory, C12-20, lekkie, hydrorafinowane parafinowe, z wyjątkiem sytuacji, gdy znany jest cały proces rafinowania i można udowodnić, że substancja, z której pochodzą, nie jest rakotwórcza","97675-86-0","307-660-1"
"888","Węglowodory, C11-17, lekkie naftenowe z ekstrakcji rozpuszczalnikowej, z wyjątkiem sytuacji, gdy znany jest cały proces rafinowania i można udowodnić, że substancja, z której pochodzą, nie jest rakotwórcza","97722-08-2","307-757-9"
"889","Oleje gazowe, hydrorafinowane, z wyjątkiem sytuacji, gdy znany jest cały proces rafinowania i można udowodnić, że substancja, z której pochodzą, nie jest rakotwórcza","97862-78-7","308-128-1"
"890","Destylaty (ropa naftowa), lekkie parafinowe, oczyszczone węglem, z wyjątkiem sytuacji, gdy znany jest cały proces rafinowania i można udowodnić, że substancja, z której pochodzą, nie jest rakotwórcza","100683-97-4","309-667-5"
"891","Destylaty (ropa naftowa), średnie parafinowe, oczyszczone węglem, z wyjątkiem sytuacji, gdy znany jest cały proces rafinowania i można udowodnić, że substancja, z której pochodzą, nie jest rakotwórcza","100683-98-5","309-668-0"
"892","Destylaty (ropa naftowa), średnie parafinowe oczyszczone ziemiąbielącą, z wyjątkiem sytuacji, gdy znany jest cały proces rafinowania i można udowodnić, że substancja, z której pochodzą, nie jest rakotwórcza","100683-99-6","309-669-6"
"893","Smary, z wyjątkiem sytuacji, gdy znany jest cały proces rafinowania i można udowodnić, że substancja, z której pochodzą, nie jest rakotwórcza","74869-21-9","278-011-7"
"894","Gacz parafinowy (ropa naftowa), z wyjątkiem sytuacji, gdy znany jest cały proces rafinowania i można udowodnić, że substancja, z której pochodzi, nie jest rakotwórcza","64742-61-6","265-165-5"
"895","Gacz parafinowy (ropa naftowa), rafinowany kwasem, z wyjątkiem sytuacji, gdy znany jest cały proces rafinowania i można udowodnić, że substancja, z której pochodzi, nie jest rakotwórcza","90669-77-5","292-659-8"
"896","Gacz parafinowy (ropa naftowa), oczyszczony ziemiąbielącą, z wyjątkiem sytuacji, gdy znany jest cały proces rafinowania i można udowodnić, że substancja, z której pochodzi, nie jest rakotwórcza","90669-78-6","292-660-3"
"897","Gacz parafinowy (ropa naftowa), hydrorafinowany, z wyjątkiem sytuacji, gdy znany jest cały proces rafinowania i można udowodnić, że substancja, z której pochodzi, nie jest rakotwórcza","92062-09-4","295-523-6"
"898","Gacz parafinowy (ropa naftowa), o niskiej temperaturze topnienia, z wyjątkiem sytuacji, gdy znany jest cały proces rafinowania i można udowodnić, że substancja, z której pochodzi, nie jestrakotwórcza","92062-10-7","295-524-1"
"899","Gacz parafinowy (ropa naftowa), o niskiej temperaturze topnienia, hydrorafinowany, z wyjątkiem sytuacji, gdy znany jest cały proces rafinowania i można udowodnić, że substancja, z której pochodzi, nie jest rakotwórcza","92062-11-8","295-525-7"
"900","Gacz parafinowy (ropa naftowa) o niskiej temperaturze topnienia, oczyszczony węglem, z wyjątkiem sytuacji, gdy znany jest cały proces rafinowania i można udowodnić, że substancja, z której pochodzi, nie jest rakotwórcza","97863-04-2","308-155-9"
"901","Gacz parafinowy (ropa naftowa), o niskiej temperaturze topnienia, oczyszczony ziemiąbielącą, z wyjątkiem sytuacji, gdy znany jest cały proces rafinowania i można udowodnić, że substancja, z której pochodzi, nie jest rakotwórcza","97863-05-3","308-156-4"
"902","Gacz parafinowy (ropa naftowa), o niskiej temperaturze topnienia, oczyszczony kwasem krzemowym, z wyjątkiem sytuacji, gdy znany jest cały proces rafinowania i można udowodnić, że substancja, z której pochodzi, nie jest rakotwórcza","97863-06-4","308-158-5"
"903","Gacz parafinowy (ropa naftowa), oczyszczony węglem, z wyjątkiem sytuacji, gdy znany jest cały proces rafinowania i można udowodnić, że substancja, z której pochodzi, nie jest rakotwórcza","100684-49-9","309-723-9"
"904","Wazelina, z wyjątkiem sytuacji, gdy znany jest cały proces rafinowania i można udowodnić, że substancja, z której pochodzi, nie jest rakotwórcza","8009-03-8","232-373-2"
"905","Wazelina (ropa naftowa) utleniona, z wyjątkiem sytuacji, gdy znany jest cały proces rafinowania i można udowodnić, że substancja, z której pochodzi, nie jest rakotwórcza","64743-01-7","265-206-7"
"906","Wazelina (ropa naftowa) oczyszczona tlenkiem glinu, z wyjątkiem sytuacji, gdy znany jest cały proces rafinowania i można udowodnić, że substancja, z której pochodzi, nie jest rakotwórcza","85029-74-9","285-098-5"
"907","Wazelina (ropa naftowa), hydrorafinowana, z wyjątkiem sytuacji, gdy znany jest cały proces rafinowania i można udowodnić, że substancja, z której pochodzi, nie jest rakotwórcza","92045-77-7","295-459-9"
"908","Wazelina (ropa naftowa), oczyszczona węglem, z wyjątkiem sytuacji, gdy znany jest cały proces rafinowania i można udowodnić, że substancja, z której pochodzi, nie jest rakotwórcza","97862-97-0","308-149-6"
"909","Wazelina (ropa naftowa), oczyszczona kwasem krzemowym, z wyjątkiem sytuacji, gdy znany jest cały proces rafinowania i można udowodnić, że substancja z której pochodzi nie jest rakotwórcza","97862-98-1","308-150-1"
"910","Wazelina (ropa naftowa), oczyszczona ziemiąbielącą, z wyjątkiem sytuacji, gdy znany jest cały proces rafinowania i można udowodnić, że substancja, z której pochodzi, nie jest rakotwórcza","100684-33-1","309-706-6"
"911","Destylaty (ropa naftowa), lekkie, z krakingu katalitycznego","64741-59-9","265-060-4"
"912","Destylaty (ropa naftowa), średnie, z krakingu katalitycznego","64741-60-2","265-062-5"
"913","Destylaty (ropa naftowa), lekkie, z krakingu termicznego","64741-82-8","265-084-5"
"914","Destylaty (ropa naftowa), hydroodsiarczane, lekkie, z krakingu katalitycznego","68333-25-5","269-781-5"
"915","Destylaty (ropa naftowa), piroliza benzyny lekkiej","68475-80-9","270-662-5"
"916","Destylaty (ropa naftowa), z krakowania z parąwodn?","68477-38-3","270-727-8"
"917","Oleje gazowe (ropa naftowa), z pirolizy","68527-18-4","271-260-2"
"918","Destylaty (ropa naftowa), średnie, z krakingu termicznego, hydroodsiarczane","85116-53-6","285-505-6"
"919","Oleje gazowe (ropa naftowa), z krakingu termicznego, hydroodsiarczane","92045-29-9","295-411-7"
"920","Pozostałości (ropa naftowa), z uwodornienia benzyny z krakingu z parąwodn?","92062-00-5","295-514-7"
"921","Pozostałości (ropa naftowa), z destylacji benzyny z krakingu z parąwodn?","92062-04-9","295-517-3"
"922","Destylaty (ropa naftowa), lekkie, z krakingu katalitycznego, degradowane termicznie","92201-60-0","295-991-1"
"923","Pozostałości (ropa naftowa), z obróbki termicznej frakcji benzynowej z krakingu parowego","93763-85-0","297-905-8"
"924","Oleje gazowe (ropa naftowa), frakcja lekka próżniowa z krakingu termicznego, hydroodsiarczona","97926-59-5","308-278-8"
"925","Destylaty (ropa naftowa), hydroodsiarczane, z procesu koksowania","101316-59-0","309-865-1"
"926","Destylaty (ropa naftowa), ciężkie, z krakingu z parąwodn?","101631-14-5","309-939-3"
"927","Pozostałości (ropa naftowa), z kolumny atmosferycznej","64741-45-3","265-045-2"
"928","Oleje gazowe (ropa naftowa), ciężkie, próżniowe","64741-57-7","265-058-3"
"929","Destylaty (ropa naftowa), ciężkie, z krakingu katalitycznego","64741-61-3","265-063-0"
"930","Oleje sklarowane (ropa naftowa), z krakingu katalitycznego","64741-62-4","265-064-6"
"931","Pozostałości (ropa naftowa), z frakcjonowania na reformingu katalitycznym","64741-67-9","265-069-3"
"932","Pozostałości (ropa naftowa), z hydrokrakingu","64741-75-9","265-076-1"
"933","Pozostałości (ropa naftowa), z krakingu termicznego","64741-80-6","265-081-9"
"934","Destylaty (ropa naftowa), ciężkie, z krakingu termicznego","64741-81-7","265-082-4"
"935","Oleje gazowe (ropa naftowa), hydrorafinowane próżniowe","64742-59-2","265-162-9"
"936","Pozostałości (ropa naftowa), hydroodsiarczane, z kolumny atmosferycznej","64742-78-5","265-181-2"
"937","Oleje gazowe (ropa naftowa), hydroodsiarczane, ciężkie próżniowe","64742-86-5","265-189-6"
"938","Pozostałości (ropa naftowa), z krakingu parowego","64742-90-1","265-193-8"
"939","Pozostałości (ropa naftowa), atmosferyczne","68333-22-2","269-777-3"
"940","Oleje sklarowane (ropa naftowa), hydroodsiarczane, z krakingu katalitycznego","68333-26-6","269-782-0"
"941","Destylaty (ropa naftowa), hydroodsiarczane, średnie z krakingu katalitycznego","68333-27-7","269-783-6"
"942","Destylaty (ropa naftowa), hydroodsiarczane, ciężkie z krakingu katalitycznego","68333-28-8","269-784-1"
"943","Olej opałowy, pozostałości po destylacji zachowawczej frakcji próżniowych o wysokiej zawartości siarki","68476-32-4","270-674-0"
"944","Olej opałowy, pozostałościowy","68476-33-5","270-675-6"
"945","Pozostałości (ropa naftowa), po destylacji produktów z reformingu katalitycznego","68478-13-7","270-792-2"
"946","Pozostałości (ropa naftowa), po destylacji ciężkiego oleju gazowego z koksowania i frakcji próżniowych z DRW","68478-17-1","270-796-4"
"947","Pozostałości (ropa naftowa), po destylacji ciężkiego oleju gazowego z koksowania i lekkich frakcji próżniowych z DRW","68512-61-8","270-983-0"
"948","Pozostałości (ropa naftowa), lekki olej próżniowy","68512-62-9","270-984-6"
"949","Pozostałości (ropa naftowa), lekki kraking parowy","68513-69-9","271-013-9"
"950","Olej opałowy, nr 6","68553-00-4","271-384-7"
"951","Pozostałości (ropa naftowa), po usunięciu lekkich składników, o niskiej zawartości siarki","68607-30-7","271-763-7"
