"Numer porządkowy (a)","Nazwa chemiczna/INN (b)","Nazwa w słowniku wspólnych nazw składników (c)","Nr CAS (d)","Nr WE (e)","Rodzaj produktu, części ciała (f)","Maksymalne stężenie w preparacie gotowym do użycia (g)","Inne (h)","Warunki i ostrzeżenia na opakowaniach (i)"
"195","1-amino-4-(cykloheksyloamino)-9,10-dihydro-9,10-dioksoantraceno-2-sulfonian sodu <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Dozwolone jest stosowanie wolnej zasady i soli tego składnika do farbowania włosów, chyba że zakazane jest to na mocy załącznika II.'>(17)</span></sup>; (CI 62045)","Acid Blue 62","4368-56-3","224-460-9","Substancja do farbowania włosów w nieutleniających produktach do farbowania włosów","0,5 %","— Nie używać z czynnikami nitrozującymi <br>— Maksymalna zawartość nitrozoaminy: 50 μg/kg <br>— Przechowywać w pojemnikach niezawierających azotynów",
"196","Absolut werbenowy <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Produkty kosmetyczne zawierające tę substancję, które nie spełniają wymogów określonych w ograniczeniach, można wprowadzać do obrotu w Unii – pod warunkiem że spełniają one wymogi określone w ograniczeniach obowiązujących w dniu 15 sierpnia 2023 r. – do dnia 31 lipca 2026 r. i udostępniać na rynku unijnym do dnia 31 lipca 2028 r.'>(38)</span></sup> <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-html='true' data-bs-title='W odniesieniu do stosowania jako eteryczne olejki werbenowe (<i>Lippia citriodora Kunth.</i>) i pochodne zob. załącznik II pozycja nr 450.'>(39)</span></sup>","Lippia citriodora absolute","8024-12-2 / 85116-63-8","- / 285-515-0",,"0,2 %","Obecność substancji musi być uwzględniona w wykazie składników, określonym w art. 19 ust. 1 lit. g), gdy jej stężenie przekracza: <br>— 0,001 % w produkcie niespłukiwanym <br>— 0,01 % w produkcie spłukiwanym.",
"197","Chlorowodorek Ν-alfa-dodekanoilo-L-argininianu etylu <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='W przypadku stosowania jako środek konserwujący, zob. załącznik V, nr 58.'>(18)</span></sup>","Ethyl Lauroyl Arginate HCl","60372-77-2","434-630-6","a) Mydło <br>b) Szampony przeciwłupieżowe <br>c) Dezodoranty inne niż w aerozolu","0,8 %","Do celów innych niż zahamowanie rozwoju drobnoustrojów w produkcie. Cel musi wynikać z prezentacji produktu",
"198","Siarczan 2,2'-[(4-aminofenylo)imino]bis(etanolu)","N,N-bis(2-Hydroxyethyl)-p-Phenylenediamine Sulfate","54381-16-7","259-134-5","Substancja do farbowania włosów w utleniających produktach do farbowania włosów",,"Po zmieszaniu w warunkach utleniających maksymalne stężenie stosowane na włosy nie może przekraczać 2,5 % (w przeliczeniu na siarczan) <br>— Nie używać z czynnikami nitrozującymi <br>— Maksymalna zawartość nitrozoaminy: 50 μg/kg <br>— Przechowywać w pojemnikach niezawierających azotynów","Na etykiecie należy wydrukować: <br>Stosunek zmieszania <br>„<i class='bi bi-exclamation-triangle piktogram'></i> Barwniki do włosów mogą wywoływać silne reakcje alergiczne <br>Proszę przeczytać instrukcje i przestrzegać ich <br>Produkt nie jest przeznaczony dla osób poniżej 16. roku życia <br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii <br>Nie farbować włosów, jeśli: <br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona, <br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów, <br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny”"
"199","1,3-benzenodiol, 4-chloro-","4-Chlororesorcinol","95-88-5","202-462-0","Substancja do farbowania włosów w utleniających produktach do farbowania włosów",,"Po zmieszaniu w warunkach utleniających maksymalne stężenie stosowane na włosy nie może przekraczać 2,5 %","Na etykiecie należy wydrukować: <br>Stosunek zmieszania <br>„<i class='bi bi-exclamation-triangle piktogram'></i> Barwniki do włosów mogą wywoływać silne reakcje alergiczne <br>Proszę przeczytać instrukcje i przestrzegać ich <br>Produkt nie jest przeznaczony dla osób poniżej 16. roku życia <br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii <br>Nie farbować włosów, jeśli: <br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona, <br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów, <br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny”"
"200","Siarczan 2,4,5,6-tetraaminopirymidyny","Tetraaminopyrimidine Sulfate","5392-28-9","226-393-0","a) Substancja do farbowania włosów w utleniających produktach do farbowania włosów <br>b) Substancja do farbowania włosów w nieutleniających produktach do farbowania włosów <br>c) Produkty przeznaczone do barwienia rzęs","b) 3,4 % (w przeliczeniu na siarczan)","a) c) Po zmieszaniu w warunkach utleniających maksymalne stężenie stosowane na włosy lub rzęsy nie może przekraczać 3,4 % (w przeliczeniu na siarczan) <br>c) Stosowanie profesjonalne","a) Na etykiecie należy wydrukować: <br>Stosunek zmieszania <br>„<i class='bi bi-exclamation-triangle piktogram'></i> Barwniki do włosów mogą wywoływać silne reakcje alergiczne. <br>Proszę przeczytać instrukcje i przestrzegać ich. <br>Produkt nie jest przeznaczony dla osób poniżej 16 roku życia. <br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii. <br>Nie farbować włosów, jeśli: <br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona, <br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów, <br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny.” <br>c) Od dnia 3 marca 2018 r. na etykiecie należy wydrukować: <br>Stosunek zmieszania <br>„<i class='bi bi-exclamation-triangle piktogram'></i> Produkt może wywoływać silne reakcje alergiczne. <br>Proszę przeczytać instrukcje i przestrzegać ich. <br>Produkt nie jest przeznaczony dla osób poniżej 16 roku życia. <br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii. <br>Nie należy farbować rzęs, jeżeli: <br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona, <br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów lub rzęs, <br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny. <br>Tylko do użytku profesjonalnego. <br>W przypadku dostania się preparatu do oczu natychmiast przepłukać je wodą.”"
"201","2-chloro-6-(etyloamino)-4-nitrofenol","2-Chloro-6-ethylamino-4-nitrophenol","131657-78-8","411-440-1","a) Substancja do farbowania włosów w utleniających produktach do farbowania włosów <br>b) Substancja do farbowania włosów w nieutleniających produktach do farbowania włosów","b) 3,0 %","a) Po zmieszaniu w warunkach utleniających maksymalne stężenie stosowane na włosy nie może przekraczać 1,5 % <br>a) i b): <br>— Nie używać z czynnikami nitrozującymi <br>— Maksymalna zawartość nitrozoaminy: 50 μg/kg <br>— Przechowywać w pojemnikach niezawierających azotynów","a) Na etykiecie należy wydrukować: <br>Stosunek zmieszania <br>„<i class='bi bi-exclamation-triangle piktogram'></i> Barwniki do włosów mogą wywoływać silne reakcje alergiczne <br>Proszę przeczytać instrukcje i przestrzegać ich <br>Produkt nie jest przeznaczony dla osób poniżej 16. roku życia <br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii <br>Nie farbować włosów, jeśli: <br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona, <br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów, <br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny”"
"202","Zob. 226 <i class='bi bi-caret-down-fill'></i><br>4,4′-[1,3-propanodiilobisoksy)]bis-benzeno-1,3-diamina i jej sól tetrachlorowodorkowa <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Dozwolone jest stosowanie wolnej zasady i soli tego składnika do farbowania włosów, chyba że zakazane jest to na mocy załącznika II.'>(17)</span></sup>","1,3-bis-(2,4-Diaminophenoxy)propane 1,3-bis-(2,4-Diaminophenoxy)propane HCl","81892-72-0 / 74918-21-1","279-845-4 / 278-022-7","a) Substancja do farbowania włosów w utleniających produktach do farbowania włosów <br>b) Substancja do farbowania włosów w nieutleniających produktach do farbowania włosów","b) 1,2 % w przeliczeniu na wolną zasadę (1,8 % w przeliczeniu na sól tetrachlorowodorkową)","a) Po zmieszaniu w warunkach utleniających maksymalne stężenie stosowane na włosy nie może przekraczać 1,2 % w przeliczeniu na wolną zasadę (1,8 % w przeliczeniu na sól tetrachlorowodorkową) <br>b) Może powodować reakcję alergiczną","a) Na etykiecie należy wydrukować: <br>Stosunek zmieszania <br>„<i class='bi bi-exclamation-triangle piktogram'></i> Barwniki do włosów mogą wywoływać silne reakcje alergiczne <br>Proszę przeczytać instrukcje i przestrzegać ich <br>Produkt nie jest przeznaczony dla osób poniżej 16. roku życia <br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii <br>Nie farbować włosów, jeśli: <br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona, <br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów, <br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny”"
"203","chlorowodorek 6-metoksy-N2-metylo-2,3-pirydynodiaminy i sól dichlorowodorkowa <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Dozwolone jest stosowanie wolnej zasady i soli tego składnika do farbowania włosów, chyba że zakazane jest to na mocy załącznika II.'>(17)</span></sup>","6-Methoxy-2-Methylamino-3-Aminopyridine HCl","90817-34-8 / 83732-72-3","- / 280-622-9","a) substancja do farbowania włosów w utleniających produktach do farbowania włosów <br>b) substancja do farbowania włosów w nieutleniających produktach do farbowania włosów <br>c) produkty przeznaczone do barwienia rzęs","b) 0,68 % w przeliczeniu na wolną zasadę (1,0 % w przeliczeniu na dichlorowodorek)","Dla a) i c): Po zmieszaniu w warunkach utleniających maksymalne stężenie stosowane na włosy lub rzęsy nie może przekraczać 0,68 % obliczonych w przeliczeniu na wolną zasadę (1,0 % w przeliczeniu na dichlorowodorek). <br>Dla a), b) i c): <br>— Nie używać z czynnikami nitrozującymi <br>— maksymalna zawartość nitrozoaminy: 50 μg/kg <br>— przechowywać w pojemnikach niezawierających azotynów <br>c) tylko do użytku profesjonalnego.","a) na etykiecie należy wydrukować: <br>Stosunek zmieszania <br>„<i class='bi bi-exclamation-triangle piktogram'></i> Barwniki do włosów mogą wywoływać silne reakcje alergiczne. <br>Proszę przeczytać instrukcje i przestrzegać ich. <br>Produkt nie jest przeznaczony dla osób poniżej 16 roku życia. <br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii. <br>Nie farbować włosów, jeśli:<br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona,<br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów,<br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny.” <br>b) Może powodować reakcję alergiczną <br>c) na etykiecie należy wydrukować: <br>Stosunek zmieszania <br>„Tylko do użytku profesjonalnego <br>Produkt może wywoływać silne reakcje alergiczne. <br>Proszę przeczytać instrukcje i przestrzegać ich. <br>Produkt nie jest przeznaczony dla osób poniżej 16 roku życia. <br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii. <br>Nie należy farbować rzęs, jeżeli:<br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona,<br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów lub rzęs,<br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny. <br>W przypadku dostania się preparatu do oczu natychmiast przepłukać je wodą”"
"204","2,3-dihydro-1H-indolo-5,6-diol i jego bromowodorek <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Dozwolone jest stosowanie wolnej zasady i soli tego składnika do farbowania włosów, chyba że zakazane jest to na mocy załącznika II.'>(17)</span></sup>","Dihydroxyindoline <br>Dihydroxyindoline HBr","29539-03-5/138937-28-7","-/421-170-6","Substancja do farbowania włosów w nieutleniających produktach do farbowania włosów","2,0 %",,"Może powodować reakcję alergiczną"
"205","Zob. 219 <i class='bi bi-caret-down-fill'></i><br>1-hydroksy-3-nitro-4-(3-hydroksypropyloamino)benzen <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Dozwolone jest stosowanie wolnej zasady i soli tego składnika do farbowania włosów, chyba że zakazane jest to na mocy załącznika II.'>(17)</span></sup>","4-Hydroxypropylamino-3-nitrophenol","92952-81-3","406-305-9","a) Substancja do farbowania włosów w utleniających produktach do farbowania włosów <br>b) Substancja do farbowania włosów w nieutleniających produktach do farbowania włosów","b) 2,6 %","a) Po zmieszaniu w warunkach utleniających maksymalne stężenie stosowane na włosy nie może przekraczać 2,6 % w przeliczeniu na wolną zasadę <br>Dla a) i b): <br>— Nie używać z czynnikami nitrozującymi <br>— Maksymalna zawartość nitrozoaminy: 50 μg/kg <br>— Przechowywać w pojemnikach niezawierających azotynów","a) Na etykiecie należy wydrukować: <br>Stosunek zmieszania <br>„<i class='bi bi-exclamation-triangle piktogram'></i> Barwniki do włosów mogą wywoływać silne reakcje alergiczne <br>Proszę przeczytać instrukcje i przestrzegać ich <br>Produkt nie jest przeznaczony dla osób poniżej 16. roku życia <br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii <br>Nie farbować włosów, jeśli: <br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona, <br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów, <br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny”"
"206","Siarczan 3-(2-hydroksyetylo)-p-fenylenodiamonu","Hydroxyethyl-p-Phenylenediamine Sulfate","93841-25-9","298-995-1","a) Substancja do farbowania włosów w utleniających produktach do farbowania włosów <br>b) Produkty przeznaczone do barwienia rzęs <br>b) Substancja do farbowania włosów w nieutleniających produktach do farbowania włosów",,"a) Po zmieszaniu w warunkach utleniających maksymalne stężenie stosowane na włosy nie może przekraczać 2,0 % (w przeliczeniu na siarczan) <br>b) Po zmieszaniu w warunkach utleniających maksymalne stężenie stosowane na rzęsy nie może przekraczać 1,75 % (w przeliczeniu na wolną zasadę) <br>b) Stosowanie profesjonalne","a) Na etykiecie należy wydrukować: <br>Stosunek zmieszania <br>„<i class='bi bi-exclamation-triangle piktogram'></i> Barwniki do włosów mogą wywoływać silne reakcje alergiczne. <br>Proszę przeczytać instrukcje i przestrzegać ich. <br>Produkt nie jest przeznaczony dla osób poniżej 16 roku życia. <br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii. <br>Nie farbować włosów, jeśli: <br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona, <br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów, <br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny.” <br>b) Od dnia 3 marca 2018 r. na etykiecie należy wydrukować: <br>Stosunek zmieszania <br>„<i class='bi bi-exclamation-triangle piktogram'></i> Produkt może wywoływać silne reakcje alergiczne. <br>Proszę przeczytać instrukcje i przestrzegać ich. <br>Produkt nie jest przeznaczony dla osób poniżej 16 roku życia. <br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii. <br>Nie należy farbować rzęs, jeżeli: <br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona, <br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów lub rzęs, <br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny. <br>Tylko do użytku profesjonalnego. <br>W przypadku dostania się preparatu do oczu natychmiast przepłukać je wodą.”"
"207","1H-indolo-5,6-diol","Dihydroxyindole","3131-52-0","412-130-9","a) Substancja do farbowania włosów w utleniających produktach do farbowania włosów","b) 0,5 %","a) Po zmieszaniu w warunkach utleniających maksymalne stężenie stosowane na włosy nie może przekraczać 0,5 %","a) Na etykiecie należy wydrukować: <br>Stosunek zmieszania <br>Dla a) i b): „<i class='bi bi-exclamation-triangle piktogram'></i> Barwniki do włosów mogą wywoływać silne reakcje alergiczne <br>Proszę przeczytać instrukcje i przestrzegać ich <br>Produkt nie jest przeznaczony dla osób poniżej 16. roku życia <br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii <br>Nie farbować włosów, jeśli: <br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona, <br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów, <br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny”"
"208","Chlorowodorek 5-amino-4-chloro-2-metylofenolu","5-Amino-4-Chloro-o-Cresol HCl","110102-85-7",,"Substancja do farbowania włosów w utleniających produktach do farbowania włosów",,"Po zmieszaniu w warunkach utleniających maksymalne stężenie stosowane na włosy nie może przekraczać 1,5 % (w przeliczeniu na chlorowodorek)","Na etykiecie należy wydrukować: <br>Stosunek zmieszania <br>„<i class='bi bi-exclamation-triangle piktogram'></i> Barwniki do włosów mogą wywoływać silne reakcje alergiczne <br>Proszę przeczytać instrukcje i przestrzegać ich <br>Produkt nie jest przeznaczony dla osób poniżej 16. roku życia <br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii <br>Nie farbować włosów, jeśli: <br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona, <br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów, <br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny”"
